年,総合,食料,住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費,生鮮食品,生鮮食品を除く総合,生鮮食品を除く食料,持家の帰属家賃を除く総合,持家の帰属家賃を除く住居,持家の帰属家賃を除く家賃,持家の帰属家賃及び生鮮食品を除く総合,エネルギー,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,教育関係費,教養娯楽関係費,情報通信関係費,財,生鮮食品を除く財,米類,サービス,持家の帰属家賃を除くサービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
1995,95.9,86.5,98.1,81.0,146.2,94.6,85.6,103.2,100.6,116.8,84.5,78.9,96.6,88.0,95.6,96.5,104.0,96.3,83.1,98.2,101.7,96.4,114.0,,97.3,99.3,119.2,94.4,92.6,205.3,96.7,87.5,91.2
1996,96.3,86.9,99.4,81.8,143.1,95.7,86.2,102.2,102.7,115.7,84.8,80.5,96.9,88.1,95.7,97.6,105.2,96.4,82.1,98.5,102.2,98.2,113.4,,97.0,98.8,117.3,95.3,93.4,197.6,97.0,87.6,91.7
1997,98.2,88.8,100.9,85.3,142.5,98.4,92.7,102.3,105.0,118.3,86.6,81.5,98.9,90.2,97.8,99.1,106.0,98.6,83.9,100.6,104.2,100.4,115.8,,98.7,100.6,114.4,97.6,96.0,196.6,99.1,89.2,94.4
1998,98.4,89.7,101.1,83.2,140.2,99.1,96.3,100.5,106.8,117.6,87.0,86.5,98.7,90.2,97.8,98.7,105.4,98.3,79.8,100.7,104.4,102.2,115.2,,98.6,99.8,112.8,98.1,96.4,192.6,99.4,89.2,94.2
1999,97.9,88.7,101.2,82.4,137.9,98.8,95.3,100.7,108.2,116.6,87.5,80.3,98.7,90.3,97.3,98.3,105.4,98.1,79.6,100.6,104.2,103.4,114.4,,97.6,99.4,112.2,98.2,96.4,189.3,98.9,88.3,93.5
2000,97.3,87.5,101.3,83.9,133.5,97.3,95.2,100.8,109.4,114.9,87.2,78.2,98.2,89.3,96.5,97.9,105.3,97.5,82.0,99.9,103.6,104.4,113.0,,96.6,98.5,107.5,98.1,96.0,181.1,97.5,87.9,93.2
2001,96.4,86.3,101.6,84.4,128.7,95.1,95.4,99.7,110.5,111.5,87.2,74.9,97.4,88.6,95.3,97.4,105.1,96.4,81.7,99.1,102.8,105.3,110.1,,94.7,96.9,105.2,98.1,95.8,169.3,95.7,86.8,93.2
2002,95.8,86.4,101.3,82.7,124.1,93.0,94.4,99.5,111.7,109.5,87.3,77.5,96.6,88.2,94.6,96.8,104.8,95.6,79.7,98.4,102.0,106.2,108.3,,93.6,95.3,104.7,98.1,95.8,161.3,94.0,86.3,92.7
2003,95.6,86.1,101.3,82.8,120.4,91.6,98.6,99.3,112.1,107.8,88.4,76.3,96.4,88.1,94.4,96.3,104.5,95.4,80.1,98.2,101.7,106.7,106.8,,92.8,94.6,115.3,98.4,96.2,154.7,92.7,86.2,93.7
2004,95.5,86.9,101.0,82.9,116.5,91.8,97.5,99.3,113.0,106.6,88.6,79.2,96.2,88.3,94.4,95.8,104.0,95.1,82.0,97.8,101.1,107.4,105.7,,93.0,94.5,113.4,98.1,95.9,148.7,92.5,86.9,92.7
2005,95.3,85.8,101.0,84.4,113.8,92.4,97.2,99.7,113.8,105.3,88.9,75.4,96.2,88.0,94.0,95.6,103.8,95.1,85.7,97.3,100.7,107.8,104.6,110.6,92.7,94.5,102.6,98.0,95.7,143.8,92.8,86.8,92.2
2006,95.5,86.4,100.9,86.6,111.7,93.1,96.8,99.9,114.6,104.0,89.9,79.0,96.3,87.9,94.3,95.6,103.7,95.2,89.3,97.1,100.3,108.6,103.2,108.3,93.2,94.7,100.0,97.9,95.7,136.2,93.2,88.1,92.6
2007,95.9,87.0,100.8,88.1,110.0,93.6,97.0,100.8,115.4,102.8,90.4,79.6,96.6,88.4,94.7,95.6,103.6,95.5,92.7,97.1,100.1,109.3,102.3,106.6,93.6,95.1,98.0,98.1,95.9,130.6,93.6,89.0,93.1
2008,96.9,89.5,100.9,92.9,110.0,93.8,96.8,100.6,116.1,102.1,90.6,79.1,97.7,91.7,95.9,96.1,103.5,96.9,97.0,97.8,100.1,110.3,101.8,107.0,95.4,97.1,97.9,98.4,96.5,125.8,94.1,91.6,94.0
2009,95.3,88.8,100.7,87.4,106.2,92.9,96.4,97.4,117.2,99.1,90.2,76.9,96.2,91.1,94.1,95.9,103.0,95.2,87.9,97.1,99.1,111.3,99.0,106.4,92.6,94.3,97.1,98.1,96.1,119.4,93.2,88.9,92.7
2010,94.8,88.9,100.3,88.8,101.3,91.9,96.1,98.2,103.3,97.2,92.7,83.0,95.4,90.1,93.6,95.4,102.6,94.2,91.2,95.8,97.8,100.5,97.2,106.2,92.4,93.4,92.6,97.2,95.1,111.7,91.7,89.8,91.7
2011,94.7,88.8,100.1,92.4,96.2,91.9,95.3,99.5,103.5,93.7,94.9,82.1,95.3,90.1,93.5,95.2,102.2,94.2,96.8,95.2,97.1,100.7,94.1,106.0,92.1,93.2,92.6,97.3,95.4,101.7,91.3,90.9,93.6
2012,94.5,88.2,99.7,95.5,93.2,91.8,94.6,99.5,103.9,92.3,94.8,79.8,95.1,89.9,93.3,95.0,101.7,94.1,100.0,94.8,96.5,101.1,92.8,105.1,91.7,93.0,100.4,97.2,95.4,97.1,91.0,91.1,95.0
2013,95.3,88.9,99.4,100.7,92.6,92.3,94.1,101.3,104.5,92.2,96.7,82.7,95.9,90.1,94.4,94.7,101.3,95.0,106.4,95.0,96.7,101.6,92.7,104.4,93.1,94.2,99.1,97.6,96.0,96.1,91.5,92.9,97.6
2014,98.1,92.8,99.5,106.4,96.1,94.9,95.6,103.6,107.0,96.0,99.9,87.7,98.6,93.8,97.7,96.0,100.9,98.3,111.4,97.5,98.8,103.9,96.4,106.1,96.9,97.9,92.7,99.3,98.6,99.0,94.7,97.1,101.8
2015,98.3,95.2,99.5,100.8,97.2,96.7,96.2,101.0,108.6,97.4,100.6,93.2,98.6,95.5,98.0,96.4,100.7,98.3,100.6,98.4,99.4,105.6,97.7,105.8,97.0,97.4,88.6,99.7,99.3,100.9,96.4,96.5,100.9
2016,98.3,96.5,99.3,94.8,96.6,98.2,97.0,99.6,110.2,98.2,101.2,97.2,98.3,96.4,98.0,96.8,100.3,98.0,93.5,98.8,99.6,107.3,98.3,104.5,96.6,96.6,92.5,100.0,99.8,99.2,97.8,96.0,99.4
2017,99.0,97.6,99.2,98.9,95.9,98.2,98.2,100.2,110.6,98.5,101.5,98.8,99.0,97.3,98.9,96.8,100.1,98.9,99.6,99.0,99.6,107.8,98.6,102.5,98.0,98.0,97.2,100.0,100.0,98.4,98.0,98.0,100.9
2018,99.7,98.0,99.1,103.0,95.3,98.3,99.5,101.1,111.1,99.5,102.1,97.4,99.8,98.2,99.8,96.9,100.0,99.9,106.1,99.3,99.8,108.3,99.5,100.4,99.1,99.4,100.3,100.3,100.5,97.9,98.0,99.6,102.7
2019,100.2,99.1,99.5,103.9,97.8,99.0,100.1,100.8,107.2,101.1,101.0,96.5,100.4,99.5,100.4,98.5,100.0,100.6,106.2,100.0,100.1,105.5,101.0,98.8,100.0,100.4,100.7,100.5,100.7,99.1,98.8,100.4,102.3
2020,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021,100.1,100.8,100.6,106.4,101.1,100.5,99.7,93.5,101.1,102.0,101.1,101.0,100.0,100.7,100.1,101.8,99.9,100.1,110.7,99.2,98.8,101.3,101.9,74.3,102.0,102.2,96.0,98.1,97.1,99.8,100.3,102.8,102.2
2022,103.3,106.5,101.5,119.1,107.2,102.7,99.7,94.3,101.9,103.3,102.3,108.4,103.1,106.1,103.9,105.1,100.0,103.7,124.8,101.4,99.9,102.0,103.2,71.4,107.9,108.0,93.6,98.5,97.8,105.1,103.0,109.4,106.4
2023,106.4,114.4,102.4,108.2,114.6,106.1,101.8,96.8,103.2,109.1,103.7,115.8,106.0,114.1,107.6,108.3,100.1,107.2,114.9,105.3,102.5,103.2,108.6,73.3,112.1,111.9,98.3,100.5,100.6,108.4,107.6,113.6,102.4
2024,109.6,120.1,103.2,116.6,119.0,108.8,103.4,98.3,102.1,113.6,104.8,128.0,108.8,118.7,111.4,110.4,100.5,110.5,123.3,107.7,104.2,102.2,112.9,73.2,117.0,116.2,144.2,102.0,102.7,110.4,110.4,119.6,105.8
