年,0001 総合,0002 食料,0045 住居,0054 光熱・水道,0060 家具・家事用品,0082 被服及び履物,0107 保健医療,0111 交通・通信,0118 教育,0122 教養娯楽,0145 諸雑費,0157 生鮮食品,0158 生鮮魚介（再掲）,0159 生鮮野菜（再掲）,0160 生鮮果物（再掲）,0161 生鮮食品を除く総合,0172 生鮮食品を除く食料,0163 持家の帰属家賃を除く総合,0164 持家の帰属家賃を除く住居,0165 持家の帰属家賃を除く家賃,0166 持家の帰属家賃及び生鮮食品を除く総合,0167 エネルギー,0178 生鮮食品及びエネルギーを除く総合,0168 食料（酒類を除く）及びエネルギーを除く総合,0162 教育関係費,0173 教養娯楽関係費,0169 情報通信関係費,0201 総合,0202 財,0241 生鮮食品を除く財,0206 米類,0220 サービス,0242 持家の帰属家賃を除くサービス,0245 民営家賃（木造）,0246 民営家賃（非木造）,0247 持家の帰属家賃（木造）,0248 持家の帰属家賃（非木造）,0237 耐久消費財,0238 半耐久消費財,0239 非耐久消費財,0240 公共料金,0901 総合（季節調整済）,0902 生鮮食品を除く総合（季節調整済）,0906 生鮮食品及びエネルギーを除く総合（季節調整済）,0921 財（季節調整済）,0924 サービス（季節調整済）
2024年度,109.5,120,103.3,114.9,119.6,109,103.2,98,101.3,113.5,105.1,128,126.5,127.3,131.1,108.7,118.6,111.2,110.8,100.5,110.3,121.1,107.7,104.2,101.4,112.8,73.4,109.5,116.8,115.9,143.3,102,102.7,100.6,100.3,100.6,100.4,110.3,110.5,119.2,105.3,***,***,***,***,***
2023年度,106.3,114.3,102.5,106.6,115.2,106.3,101.6,96.5,102.4,109,104,115.8,126.3,109.7,115.6,105.9,114,107.4,108.7,100.1,107,112.8,105.3,102.5,102.4,108.5,73.5,106.3,111.9,111.6,97.7,100.5,100.6,100.5,99.8,100.5,99.9,108.3,107.7,113.3,101.9,***,***,***,***,***
2022年度,103.2,106.4,101.6,117.3,107.7,102.9,99.5,94,101.1,103.2,102.6,108.4,120.1,102.5,106.1,103,106,103.7,105.5,100,103.5,122.6,101.4,99.9,101.2,103.1,71.6,103.2,107.7,107.7,93,98.5,97.8,100.3,99.8,100.3,99.8,105,103.1,109.1,105.9,***,***,***,***,***
2021年度,100,100.7,100.7,104.8,101.6,100.7,99.5,93.2,100.3,101.9,101.4,101,104.6,98.7,101.4,99.9,100.6,99.9,102.2,99.9,99.9,108.7,99.2,98.8,100.5,101.8,74.5,100,101.8,101.9,95.4,98.1,97.1,100.1,99.8,100.2,99.8,99.7,100.4,102.5,101.7,***,***,***,***,***
2020年度,99.9,99.9,100.1,98.5,100.5,100.2,99.8,99.7,99.2,99.9,100.3,100,99.3,100.7,99.2,99.9,99.9,99.8,100.4,100,99.8,98.2,100,100,99.2,99.9,100.3,99.9,99.8,99.7,99.4,100,100,100,100,100,100,99.9,100.1,99.7,99.5,***,***,***,***,***
2019年度,100.1,99,99.6,102.3,98.3,99.2,99.9,100.5,106.3,101,101.3,96.5,100.5,95,94.2,100.3,99.4,100.2,98.9,100,100.4,104.3,100,100.1,104.7,100.9,99.1,100.1,99.8,100.1,100.1,100.5,100.7,99.9,100,99.9,100.1,99,98.9,100.1,101.8,***,***,***,***,***
2018年度,99.6,97.9,99.2,101.5,95.8,98.5,99.3,100.8,110.2,99.4,102.4,97.4,100.6,97.9,92.5,99.7,98.1,99.6,97.3,100,99.7,104.2,99.3,99.8,107.4,99.4,100.7,99.6,98.9,99.1,99.7,100.3,100.5,99.9,100,99.9,100.1,97.8,98.1,99.3,102.2,***,***,***,***,***
2017年度,98.9,97.5,99.3,97.4,96.4,98.4,98,99.9,109.7,98.4,101.8,98.8,99.1,103.2,91,98.9,97.2,98.7,97.2,100.1,98.7,97.8,99,99.6,106.9,98.5,102.8,98.9,97.8,97.7,96.6,100,100,100.1,100.2,100.1,100.2,98.3,98.1,97.7,100.4,***,***,***,***,***
2016年度,98.2,96.4,99.4,93.4,97.1,98.4,96.8,99.3,109.3,98.1,101.5,97.2,93.4,103.7,90.6,98.2,96.3,97.8,97.2,100.3,97.8,91.8,98.8,99.6,106.4,98.2,104.8,98.2,96.4,96.3,91.9,100,99.8,100.2,100.5,100.3,100.6,99.1,97.9,95.7,98.9,***,***,***,***,***
2015年度,98.2,95.1,99.6,99.3,97.7,96.9,96,100.7,107.7,97.3,100.9,93.2,90.3,98.4,87.9,98.5,95.4,97.8,96.8,100.7,98.1,98.8,98.4,99.4,104.8,97.6,106.1,98.2,96.8,97.1,88.1,99.7,99.3,100.6,100.9,100.6,101,100.8,96.5,96.2,100.4,***,***,***,***,***
