Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income
2001,Large (1000+),Female,9,17,0,130900,0,100,1570800
2001,Large (1000+),Female,9,17,1.5,135600,223200,70,1850400
2001,Large (1000+),Female,9,18.5,0,153200,45000,10,1883400
2001,Large (1000+),Female,9,18.5,1.5,139000,318500,40,1986500
2001,Large (1000+),Female,9,18.5,3.5,142600,293800,70,2005000
2001,Large (1000+),Female,9,22,0,154900,0,30,1858800
2001,Large (1000+),Female,9,22,1.5,151500,133000,100,1951000
2001,Large (1000+),Female,9,22,3.5,176800,791100,90,2912700
2001,Large (1000+),Female,9,22,7,148900,547900,180,2334700
2001,Large (1000+),Female,9,27,0,133700,100500,30,1704900
2001,Large (1000+),Female,9,27,1.5,154000,338100,60,2186100
2001,Large (1000+),Female,9,27,3.5,179500,662200,10,2816200
2001,Large (1000+),Female,9,27,7,174100,552500,190,2641700
2001,Large (1000+),Female,9,27,12,198500,712800,210,3094800
2001,Large (1000+),Female,9,32,0,138600,68300,80,1731500
2001,Large (1000+),Female,9,32,1.5,176900,128500,240,2251300
2001,Large (1000+),Female,9,32,3.5,136300,20000,10,1655600
2001,Large (1000+),Female,9,32,7,220000,200000,80,2840000
2001,Large (1000+),Female,9,32,12,196000,783900,230,3135900
2001,Large (1000+),Female,9,32,17,211200,764500,290,3298900
2001,Large (1000+),Female,9,37,0,127600,0,20,1531200
2001,Large (1000+),Female,9,37,1.5,147200,0,20,1766400
2001,Large (1000+),Female,9,37,3.5,127100,109600,140,1634800
2001,Large (1000+),Female,9,37,7,138100,0,20,1657200
2001,Large (1000+),Female,9,37,12,171000,280900,40,2332900
2001,Large (1000+),Female,9,37,17,230600,975400,220,3742600
2001,Large (1000+),Female,9,37,22,238100,1003100,550,3860300
2001,Large (1000+),Female,9,42,0,176300,86300,110,2201900
2001,Large (1000+),Female,9,42,1.5,172500,82000,30,2152000
2001,Large (1000+),Female,9,42,3.5,147200,262400,150,2028800
2001,Large (1000+),Female,9,42,7,164900,613500,140,2592300
2001,Large (1000+),Female,9,42,12,148800,341100,80,2126700
2001,Large (1000+),Female,9,42,17,210600,764800,210,3292000
2001,Large (1000+),Female,9,42,22,248400,1028700,910,4009500
2001,Large (1000+),Female,9,42,27,273100,1194600,1060,4471800
2001,Large (1000+),Female,9,47,0,174700,63400,50,2159800
2001,Large (1000+),Female,9,47,1.5,169900,677300,150,2716100
2001,Large (1000+),Female,9,47,3.5,148900,254700,70,2041500
2001,Large (1000+),Female,9,47,7,157300,489200,800,2376800
2001,Large (1000+),Female,9,47,12,198600,812300,460,3195500
2001,Large (1000+),Female,9,47,17,187000,673300,400,2917300
2001,Large (1000+),Female,9,47,22,198000,767100,630,3143100
2001,Large (1000+),Female,9,47,27,262600,1195800,1660,4347000
2001,Large (1000+),Female,9,47,30,294900,1352600,3500,4891400
2001,Large (1000+),Female,9,52,0,154700,86700,210,1943100
2001,Large (1000+),Female,9,52,1.5,157600,84000,20,1975200
2001,Large (1000+),Female,9,52,3.5,140000,175000,390,1855000
2001,Large (1000+),Female,9,52,7,155900,548800,710,2419600
2001,Large (1000+),Female,9,52,12,171400,620400,1680,2677200
2001,Large (1000+),Female,9,52,17,184000,680400,1430,2888400
