Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income,Wage_Ratio,Emp_Ratio
2001,Large (1000+),Female,9.0,17.0,0.0,130900,0,100,1570800,1.0,1.0
2001,Large (1000+),Female,9.0,18.5,0.0,153200,45000,10,1883400,1.0159124008846216,0.3333333333333333
2001,Large (1000+),Female,9.0,22.0,0.0,154900,0,30,1858800,1.0902692240014078,0.038461538461538464
2001,Large (1000+),Female,9.0,27.0,0.0,133700,100500,30,1704900,1.014459121742235,0.06
2001,Large (1000+),Female,9.0,32.0,0.0,138600,68300,80,1731500,0.9853183861605873,0.13793103448275862
2001,Large (1000+),Female,9.0,37.0,0.0,127600,0,20,1531200,0.7565965016305959,0.07142857142857142
2001,Large (1000+),Female,9.0,42.0,0.0,176300,86300,110,2201900,1.3290077257363593,0.2894736842105263
2001,Large (1000+),Female,9.0,47.0,0.0,174700,63400,50,2159800,1.1387146095850689,0.38461538461538464
2001,Large (1000+),Female,9.0,52.0,0.0,154700,86700,210,1943100,1.0470981300856819,0.5121951219512195
2001,Large (1000+),Female,9.0,57.0,0.0,171500,144600,30,2202600,1.1625672965269713,0.08823529411764706
2001,Large (1000+),Female,9.0,62.0,0.0,160900,817900,10,2748700,1.4585831785619527,0.07142857142857142
2001,Large (1000+),Female,9.0,65.0,0.0,141500,99600,50,1797600,1.0,1.0
2001,Large (1000+),Female,12.0,18.5,0.0,163200,16500,4640,1974900,1.0138610811643307,0.44529750479846447
2001,Large (1000+),Female,12.0,22.0,0.0,164500,55800,1290,2029800,1.046720297029703,0.18970588235294117
2001,Large (1000+),Female,12.0,27.0,0.0,175200,42600,1290,2145000,1.1369057083797105,0.16862745098039217
2001,Large (1000+),Female,12.0,32.0,0.0,158400,51200,480,1952000,1.008420726352224,0.06732117812061711
2001,Large (1000+),Female,12.0,37.0,0.0,165300,126700,320,2110300,1.1098664142211003,0.0547945205479452
2001,Large (1000+),Female,12.0,42.0,0.0,165000,99800,180,2079800,1.0212118236276146,0.03231597845601436
2001,Large (1000+),Female,12.0,47.0,0.0,156800,101000,610,1982600,0.9941332798475656,0.14420803782505912
2001,Large (1000+),Female,12.0,52.0,0.0,169100,110100,580,2139300,0.9146607379537389,0.19141914191419143
2001,Large (1000+),Female,12.0,57.0,0.0,175600,14900,350,2122100,1.0355748584813587,0.2536231884057971
2001,Large (1000+),Female,14.0,22.0,0.0,179000,32100,2850,2180100,0.9508046578568625,0.1126037139470565
2001,Large (1000+),Female,14.0,27.0,0.0,202100,224000,680,2649200,1.067064083457526,0.08607594936708861
