Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income
2001,Large (1000+),Female,9.0,17.0,0.0,130900,0,100,1570800
2001,Large (1000+),Female,9.0,17.0,1.5,135600,223200,70,1850400
2001,Large (1000+),Female,9.0,18.5,0.0,151500,35900,30,1853900
2001,Large (1000+),Female,9.0,18.5,1.5,138000,375400,80,2031400
2001,Large (1000+),Female,9.0,18.5,3.5,142900,293700,70,2008500
2001,Large (1000+),Female,9.0,22.0,0.0,141800,3300,780,1704900
2001,Large (1000+),Female,9.0,22.0,1.5,155700,206200,470,2074600
2001,Large (1000+),Female,9.0,22.0,3.5,182100,794000,140,2979200
2001,Large (1000+),Female,9.0,22.0,7.0,159600,520700,260,2435900
2001,Large (1000+),Female,9.0,27.0,0.0,137300,33000,500,1680600
2001,Large (1000+),Female,9.0,27.0,1.5,158800,233600,630,2139200
2001,Large (1000+),Female,9.0,27.0,3.5,201800,623000,60,3044600
2001,Large (1000+),Female,9.0,27.0,7.0,176600,551400,370,2670600
2001,Large (1000+),Female,9.0,27.0,12.0,199500,716500,230,3110500
2001,Large (1000+),Female,9.0,32.0,0.0,145600,10100,580,1757300
2001,Large (1000+),Female,9.0,32.0,1.5,142800,99200,600,1812800
2001,Large (1000+),Female,9.0,32.0,3.5,183000,62400,150,2258400
2001,Large (1000+),Female,9.0,32.0,7.0,217700,763500,1280,3375900
2001,Large (1000+),Female,9.0,32.0,12.0,207200,808700,340,3295100
2001,Large (1000+),Female,9.0,32.0,17.0,211700,830200,340,3370600
2001,Large (1000+),Female,9.0,37.0,0.0,167200,17400,280,2023800
2001,Large (1000+),Female,9.0,37.0,1.5,122900,197300,320,1672100
2001,Large (1000+),Female,9.0,37.0,3.5,137700,120900,280,1773300
2001,Large (1000+),Female,9.0,37.0,7.0,215400,781000,320,3365800
2001,Large (1000+),Female,9.0,37.0,12.0,216600,579000,160,3178200
2001,Large (1000+),Female,9.0,37.0,17.0,230600,975400,220,3742600
2001,Large (1000+),Female,9.0,37.0,22.0,238100,1003100,550,3860300
2001,Large (1000+),Female,9.0,42.0,0.0,135800,27200,380,1656800
2001,Large (1000+),Female,9.0,42.0,1.5,149000,115700,230,1903700
2001,Large (1000+),Female,9.0,42.0,3.5,147200,262400,150,2028800
2001,Large (1000+),Female,9.0,42.0,7.0,179500,549100,270,2703100
2001,Large (1000+),Female,9.0,42.0,12.0,239600,892900,220,3768100
2001,Large (1000+),Female,9.0,42.0,17.0,280700,1183900,350,4552300
2001,Large (1000+),Female,9.0,42.0,22.0,255500,1052600,990,4118600
2001,Large (1000+),Female,9.0,42.0,27.0,273800,1198100,1120,4483700
2001,Large (1000+),Female,9.0,47.0,0.0,150500,90700,130,1896700
2001,Large (1000+),Female,9.0,47.0,1.5,157600,394200,340,2285400
2001,Large (1000+),Female,9.0,47.0,3.5,146700,294500,460,2054900
2001,Large (1000+),Female,9.0,47.0,7.0,169100,554200,1140,2583400
2001,Large (1000+),Female,9.0,47.0,12.0,199400,657200,1080,3050000
2001,Large (1000+),Female,9.0,47.0,17.0,270000,1045800,660,4285800
2001,Large (1000+),Female,9.0,47.0,22.0,217500,819400,940,3429400
2001,Large (1000+),Female,9.0,47.0,27.0,270800,1203500,2000,4453100
2001,Large (1000+),Female,9.0,47.0,30.0,296600,1366000,3640,4925200
2001,Large (1000+),Female,9.0,52.0,0.0,150600,48500,410,1855700
2001,Large (1000+),Female,9.0,52.0,1.5,154500,249900,460,2103900
2001,Large (1000+),Female,9.0,52.0,3.5,141600,164800,610,1864000
2001,Large (1000+),Female,9.0,52.0,7.0,156600,457100,2060,2336300
2001,Large (1000+),Female,9.0,52.0,12.0,205200,695800,2950,3158200
2001,Large (1000+),Female,9.0,52.0,17.0,226000,807900,3110,3519900
2001,Large (1000+),Female,9.0,52.0,22.0,223600,906500,1630,3589700
2001,Large (1000+),Female,9.0,52.0,27.0,292100,1362600,2310,4867800
2001,Large (1000+),Female,9.0,52.0,30.0,316300,1418400,6080,5214000
2001,Large (1000+),Female,9.0,57.0,0.0,155300,31000,340,1894600
2001,Large (1000+),Female,9.0,57.0,1.5,134600,101100,390,1716300
2001,Large (1000+),Female,9.0,57.0,3.5,170400,280200,880,2325000
2001,Large (1000+),Female,9.0,57.0,7.0,176700,544000,1600,2664400
2001,Large (1000+),Female,9.0,57.0,12.0,177600,656400,2250,2787600
2001,Large (1000+),Female,9.0,57.0,17.0,198000,698600,2720,3074600
2001,Large (1000+),Female,9.0,57.0,22.0,215000,792100,2930,3372100
2001,Large (1000+),Female,9.0,57.0,27.0,243500,1062500,1760,3984500
2001,Large (1000+),Female,9.0,57.0,30.0,302600,1415000,4230,5046200
2001,Large (1000+),Female,9.0,62.0,0.0,151200,70100,140,1884500
2001,Large (1000+),Female,9.0,62.0,1.5,148400,179800,320,1960600
2001,Large (1000+),Female,9.0,62.0,3.5,148900,151000,340,1937800
2001,Large (1000+),Female,9.0,62.0,7.0,150900,223200,520,2034000
2001,Large (1000+),Female,9.0,62.0,12.0,196100,531500,740,2884700
2001,Large (1000+),Female,9.0,62.0,17.0,223900,542000,310,3228800
2001,Large (1000+),Female,9.0,62.0,22.0,244100,1048100,920,3977300
2001,Large (1000+),Female,9.0,62.0,27.0,315100,1386000,350,5167200
2001,Large (1000+),Female,9.0,62.0,30.0,293200,921400,230,4439800
2001,Large (1000+),Female,9.0,65.0,0.0,141500,99600,50,1797600
2001,Large (1000+),Female,9.0,65.0,1.5,122800,5000,40,1478600
2001,Large (1000+),Female,9.0,65.0,3.5,162700,157900,330,2110300
2001,Large (1000+),Female,9.0,65.0,7.0,151900,325700,300,2148500
