表章項目 コード,表章項目 補助コード,表章項目,世帯区分 コード,世帯区分 補助コード,世帯区分,地域区分 コード,地域区分 補助コード,地域区分,時間軸（年次） コード,時間軸（年次） 補助コード,時間軸（年次）,/品目分類（2020年改定）,消費支出【円】
1,,金額,21,,単身世帯,0,,全国,2007000000,,2007年,,2029835
1,,金額,21,,単身世帯,0,,全国,2008000000,,2008年,,2059224
1,,金額,21,,単身世帯,0,,全国,2009000000,,2009年,,1952770
1,,金額,21,,単身世帯,0,,全国,2010000000,,2010年,,1944112
1,,金額,21,,単身世帯,0,,全国,2011000000,,2011年,,1930686
1,,金額,21,,単身世帯,0,,全国,2012000000,,2012年,,1877396
1,,金額,21,,単身世帯,0,,全国,2013000000,,2013年,,1929309
1,,金額,21,,単身世帯,0,,全国,2014000000,,2014年,,1944019
1,,金額,21,,単身世帯,0,,全国,2015000000,,2015年,,1920680
1,,金額,21,,単身世帯,0,,全国,2016000000,,2016年,,1906931
1,,金額,21,,単身世帯,0,,全国,2017000000,,2017年,,1939478
1,,金額,21,,単身世帯,0,,全国,2018000000,,2018年,,1953996
1,,金額,21,,単身世帯,0,,全国,2019000000,,2019年,,1965371
1,,金額,21,,単身世帯,0,,全国,2020000000,,2020年,,1806076
1,,金額,21,,単身世帯,0,,全国,2021000000,,2021年,,1860557
1,,金額,21,,単身世帯,0,,全国,2022000000,,2022年,,1941038
1,,金額,21,,単身世帯,0,,全国,2023000000,,2023年,,2011439
1,,金額,21,,単身世帯,0,,全国,2024000000,,2024年,,2034566
1,,金額,22,,（単身）勤労者世帯,0,,全国,2007000000,,2007年,,2298536
1,,金額,22,,（単身）勤労者世帯,0,,全国,2008000000,,2008年,,2343049
1,,金額,22,,（単身）勤労者世帯,0,,全国,2009000000,,2009年,,2221595
1,,金額,22,,（単身）勤労者世帯,0,,全国,2010000000,,2010年,,2183543
1,,金額,22,,（単身）勤労者世帯,0,,全国,2011000000,,2011年,,2188517
1,,金額,22,,（単身）勤労者世帯,0,,全国,2012000000,,2012年,,2037011
1,,金額,22,,（単身）勤労者世帯,0,,全国,2013000000,,2013年,,2115059
1,,金額,22,,（単身）勤労者世帯,0,,全国,2014000000,,2014年,,2155354
1,,金額,22,,（単身）勤労者世帯,0,,全国,2015000000,,2015年,,2140258
1,,金額,22,,（単身）勤労者世帯,0,,全国,2016000000,,2016年,,2057456
1,,金額,22,,（単身）勤労者世帯,0,,全国,2017000000,,2017年,,2049798
1,,金額,22,,（単身）勤労者世帯,0,,全国,2018000000,,2018年,,2145613
1,,金額,22,,（単身）勤労者世帯,0,,全国,2019000000,,2019年,,2181407
1,,金額,22,,（単身）勤労者世帯,0,,全国,2020000000,,2020年,,2027576
1,,金額,22,,（単身）勤労者世帯,0,,全国,2021000000,,2021年,,2061791
1,,金額,22,,（単身）勤労者世帯,0,,全国,2022000000,,2022年,,2141209
1,,金額,22,,（単身）勤労者世帯,0,,全国,2023000000,,2023年,,2185362
1,,金額,22,,（単身）勤労者世帯,0,,全国,2024000000,,2024年,,2207403
