年,産業分類,労働者数,増加労働者数,減少労働者数,パートタイム労働者数,労働者数割合
1995,C,64123.0,664.0,756.0,,0.185
1995,D,3921455.0,72226.0,74583.0,,11.306
1995,E,9696646.0,94981.0,116329.0,,27.957
1995,F,320772.0,3454.0,3472.0,,0.925
1995,TL,34684417.0,481044.0,521868.0,,100.0
1996,C,63292.0,650.0,853.0,,0.182
1996,D,4068538.0,78229.0,77024.0,,11.689
1996,E,9533723.0,94674.0,111510.0,,27.39
1996,F,311429.0,3510.0,3882.0,,0.895
1996,TL,34807220.0,494309.0,525878.0,,100.0
1997,C,61126.0,582.0,953.0,,0.175
1997,D,4231625.0,73444.0,77810.0,,12.134
1997,E,9423925.0,103474.0,114695.0,,27.022
1997,F,307960.0,3678.0,4057.0,,0.883
1997,TL,34875234.0,506725.0,537616.0,,100.0
1998,C,56984.0,581.0,810.0,,0.165
1998,D,4236159.0,65841.0,79659.0,,12.243
1998,E,9270486.0,90841.0,111299.0,,26.792
1998,F,305538.0,3853.0,3986.0,,0.883
1998,TL,34602074.0,470285.0,528309.0,,100.0
1999,C,44578.0,508.0,654.0,,0.127
1999,D,3742602.0,63243.0,66889.0,,10.683
1999,E,8941723.0,87067.0,107890.0,,25.524
1999,F,318107.0,4037.0,4208.0,,0.908
1999,TL,35032956.0,493899.0,537633.0,,100.0
2000,C,43997.0,460.0,601.0,,0.127
2000,D,3743860.0,59640.0,72779.0,,10.795
2000,E,8717232.0,88156.0,103932.0,,25.135
2000,F,312134.0,3474.0,4079.0,,0.9
2000,G,1304880.0,18800.0,17863.0,,3.762
2000,H,2541264.0,34169.0,37200.0,,7.327
2000,I,5937304.0,81023.0,97968.0,,17.119
2000,J,1499572.0,28715.0,33533.0,,4.324
2000,O,1990001.0,27541.0,28607.0,,5.738
2000,P,2859354.0,41286.0,38385.0,,8.245
2000,Q,500343.0,5633.0,6342.0,,1.443
2000,TL,34681752.0,490152.0,548256.0,,100.0
2001,C,42905.0,387.0,636.0,,0.125
2001,D,3765447.0,63004.0,71688.0,,10.984
2001,E,8521043.0,80735.0,109151.0,,24.857
2001,F,296949.0,3894.0,4261.0,,0.866
2001,G,1310274.0,18606.0,20278.0,,3.822
2001,H,2475538.0,31566.0,34859.0,,7.221
2001,I,5776243.0,79570.0,95483.0,,16.85
2001,J,1427008.0,28072.0,32105.0,,4.163
2001,O,2014983.0,30888.0,30053.0,,5.878
2001,P,2939268.0,41056.0,39724.0,,8.574
2001,Q,487763.0,6600.0,6563.0,,1.423
2001,TL,34280714.0,489427.0,552134.0,,100.0
2002,C,38793.0,286.0,450.0,,0.115
2002,D,3752349.0,62938.0,74973.0,,11.149
2002,E,8139742.0,76615.0,106141.0,,24.185
2002,F,293937.0,4306.0,4471.0,,0.873
2002,G,1289224.0,19757.0,22838.0,,3.831
2002,H,2450661.0,31523.0,35115.0,,7.282
2002,I,5476283.0,79792.0,95410.0,,16.271
2002,J,1383642.0,29439.0,31479.0,,4.111
2002,O,2030470.0,30291.0,30448.0,,6.033
2002,P,2998308.0,46802.0,43745.0,,8.909
2002,Q,526864.0,6883.0,7338.0,,1.565
2002,TL,33655696.0,488870.0,562125.0,,100.0
2003,C,38972.0,457.0,632.0,,0.117
2003,D,3704284.0,52215.0,65005.0,,11.153
2003,E,7924822.0,75663.0,92817.0,,23.86
2003,F,282232.0,3434.0,4141.0,,0.85
2003,G,1290244.0,19809.0,19242.0,,3.885
2003,H,2457141.0,31385.0,33475.0,,7.398
2003,I,5364020.0,77786.0,87359.0,,16.15
2003,J,1344676.0,27106.0,30048.0,,4.049
2003,O,2052896.0,32222.0,32403.0,,6.181
2003,P,3066481.0,46767.0,44673.0,,9.233
2003,Q,520186.0,6438.0,7879.0,,1.566
2003,TL,33213341.0,483903.0,533201.0,,100.0
2004,C,32423.0,294.0,398.0,,0.101
2004,D,2848249.0,37067.0,46681.0,,8.889
2004,E,7388744.0,75622.0,83742.0,,23.06
2004,F,284123.0,3442.0,4038.0,,0.887
2004,G,1325671.0,21293.0,20109.0,,4.137
2004,H,2352635.0,29090.0,30613.0,,7.342
2004,I,5262001.0,77414.0,86791.0,,16.422
2004,J,1293604.0,25434.0,25691.0,,4.037
2004,O,2006367.0,31744.0,33244.0,,6.262
2004,P,3244019.0,54792.0,50955.0,,10.124
2004,Q,489752.0,6988.0,7399.0,,1.528
2004,TL,32041858.0,475724.0,505539.0,,100.0
2005,C,31249.0,347.0,449.0,,0.097
2005,D,2866784.0,40544.0,43253.0,,8.901
2005,E,7406469.0,79825.0,80611.0,,22.996
2005,F,280951.0,3696.0,3817.0,,0.872
2005,G,1319271.0,22575.0,24623.0,,4.096
2005,H,2353216.0,29612.0,32086.0,,7.306
2005,I,5259856.0,87973.0,93472.0,,16.331
2005,J,1292040.0,24511.0,25340.0,,4.012
2005,O,2042309.0,32794.0,32843.0,,6.341
2005,P,3297718.0,49035.0,49505.0,,10.239
2005,Q,490186.0,6427.0,6976.0,,1.522
2005,TL,32207324.0,491204.0,508639.0,,100.0
2006,C,31617.0,514.0,496.0,,0.097
2006,D,2906049.0,42596.0,47168.0,,8.941
2006,E,7483708.0,83772.0,81046.0,,23.025
2006,F,277593.0,3390.0,3525.0,,0.854
