年,産業分類,規模,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,出勤日数,前月末労働者数,本月末労働者数,増加労働者数,減少労働者数
1995,C,4,521444.0,408215.0,328758.0,79457.0,113229.0,205.2,168.6,36.6,22.6,6987.0,6964.0,80.0,102.0
1995,C,M,387615.3333333333,302702.0,282563.3333333333,20138.666666666668,84913.33333333333,173.1,162.56666666666666,10.533333333333333,21.46666666666667,57300.0,57159.0,584.0,654.0
1995,C,T,374611.0,301852.0,276967.0,24885.0,72759.0,180.6,167.4,13.2,21.9,64287.0,64123.0,664.0,756.0
1995,D,4,642039.0,449082.0,414135.0,34947.0,192957.0,170.1,154.3,15.8,20.2,158179.0,157883.0,1378.0,1675.0
1995,D,M,419254.3333333333,333122.6666666667,313619.6666666667,19503.0,86131.66666666667,173.73333333333335,162.5,11.233333333333334,21.233333333333334,3765015.0,3763572.0,70848.0,72909.0
1995,D,T,388111.0,319960.0,303939.0,16021.0,68151.0,174.3,164.6,9.7,21.5,3923194.0,3921455.0,72226.0,74583.0
1995,E,4,496154.0,359119.0,318144.0,40975.0,137035.0,163.7,148.5,15.2,19.2,2555735.0,2549247.0,18176.0,24870.0
1995,E,M,349209.3333333333,278248.0,256259.66666666666,21988.333333333332,70961.33333333333,172.29999999999998,159.9,12.4,20.733333333333334,7161426.0,7147399.0,76805.0,91459.0
1995,E,T,388186.0,299759.0,272771.0,26988.0,88427.0,170.0,156.9,13.1,20.3,9717162.0,9696646.0,94981.0,116329.0
1995,F,4,648319.0,458353.0,406589.0,51764.0,189966.0,163.3,148.9,14.4,19.6,41120.0,41085.0,462.0,497.0
1995,F,M,557026.0,402288.0,362300.0,39988.0,154738.0,158.96666666666667,147.33333333333334,11.633333333333333,19.433333333333334,279668.0,279687.0,2992.0,2976.0
1995,F,T,575765.0,414974.0,371855.0,43119.0,160791.0,159.3,147.0,12.3,19.4,320788.0,320772.0,3454.0,3472.0
1995,TL,4,526387.0,378153.0,340780.0,37373.0,148234.0,162.8,148.8,14.0,19.5,4292792.0,4283617.0,38898.0,48734.0
1995,TL,M,404064.3333333333,312016.6666666667,291690.0,20326.666666666668,92047.66666666667,169.93333333333334,158.86666666666667,11.066666666666668,20.833333333333332,30431656.0,30400800.0,442146.0,473135.0
1995,TL,T,408425.0,314595.0,293819.0,20776.0,93830.0,169.8,158.8,11.0,20.8,34724448.0,34684417.0,481044.0,521868.0
1996,C,4,507937.0,409203.0,324971.0,84232.0,98734.0,211.9,171.5,40.4,23.2,6666.0,6626.0,39.0,79.0
1996,C,M,421564.6666666667,324006.0,301568.6666666667,22437.333333333332,97558.66666666667,175.79999999999998,163.0,12.800000000000002,21.400000000000002,56859.0,56666.0,611.0,774.0
1996,C,T,385667.0,309234.0,282127.0,27107.0,76433.0,184.2,168.4,15.8,22.0,63524.0,63292.0,650.0,853.0
1996,D,4,643950.0,457470.0,422237.0,35233.0,186480.0,169.1,153.5,15.6,20.1,154737.0,154327.0,1300.0,1710.0
1996,D,M,427045.0,339616.0,319190.0,20426.0,87429.0,175.16666666666666,163.20000000000002,11.966666666666667,21.400000000000002,3912266.0,3914210.0,76930.0,75314.0
1996,D,T,395281.0,325196.0,308317.0,16879.0,70085.0,176.0,165.5,10.5,21.6,4067003.0,4068538.0,78229.0,77024.0
1996,E,4,510211.0,370595.0,325038.0,45557.0,139616.0,164.7,147.9,16.8,19.2,2479825.0,2474476.0,19097.0,24471.0
