éûì_,êªë¢çHã∆ÅièúÅDã@äBçHã∆Åj,ã@äBçHã∆
199501,111.4,108.7
199502,111.3,108.6
199503,111.2,108.8
199504,111,108.5
199505,111.3,108.3
199506,111.3,108.9
199507,111.5,109
199508,111.5,109
199509,111.6,109
199510,111.7,108.9
199511,111.7,108.9
199512,111.5,108.8
199601,111.4,109.3
199602,111.3,109.4
199603,110.9,109.3
199604,110.6,109
199605,110.5,109.4
199606,110.6,109.3
199607,110.5,109.3
199608,110.5,109.3
199609,110.5,109.3
199610,110.4,109.5
199611,110.5,109.5
199612,110.5,109.5
199701,110.6,109.9
199702,110.6,110.2
199703,110.6,110.3
199704,110.6,110.5
199705,110.7,110.5
199706,110.7,110.7
199707,110.7,111
199708,110.7,111.7
199709,110.7,111.9
199710,110.7,111.9
199711,110.9,111.9
199712,110.9,111.8
199801,110.7,110.6
199802,110.7,110.9
199803,110.5,111.4
199804,110.7,111.4
199805,110.7,111.2
199806,110.7,111
199807,110.9,110.9
199808,110.9,110.6
199809,110.7,110.6
199810,110.7,110.6
199811,110.7,110.6
199812,110.6,110.6
199901,110.5,110.9
199902,110.5,110.5
199903,110.5,110.2
199904,110.3,110.1
199905,110.2,109.8
199906,110.1,110
199907,110,109.9
199908,109.9,109.8
199909,109.6,109.8
199910,109.6,109.4
199911,109.4,109.5
199912,109.4,109.5
200001,109.1,108.9
200002,108.9,109.1
200003,108.9,108.9
200004,108.7,109
200005,108.3,109.1
200006,108.1,109.1
200007,108.1,109
200008,108,109
200009,108,109.1
200010,107.7,109.3
200011,107.6,109.4
200012,107.4,109.4
200101,107.2,109
200102,107,109.2
200103,107,109.1
200104,106.6,107
200105,106.5,106.9
200106,106.5,106.9
200107,106.5,105.7
200108,106.3,105.6
200109,106.2,105.5
200110,106.2,104.6
200111,106.1,104.4
200112,106,104
200201,105.2,102.6
200202,105.1,102.5
200203,105.2,102.3
200204,104.8,102.1
200205,104.8,102
200206,104.6,101.9
200207,104.6,101.4
200208,104.5,101.4
200209,104.4,101.3
200210,104.2,101
200211,104.1,100.9
200212,104,100.7
200301,103.7,99.7
200302,103.6,99.3
200303,103.5,99.3
200304,103.1,99.3
200305,102.9,98.8
200306,102.8,98.2
200307,102.6,98.3
200308,102.6,98.3
200309,102.6,98.2
200310,102.5,98.2
200311,102.5,98.2
200312,102.3,98.2
200401,102.2,98
200402,102.1,98.1
200403,102,98.5
200404,101.9,98.7
200405,101.6,97.7
200406,101.6,98
200407,101.4,98.1
200408,101.4,98.5
200409,101.4,98.6
200410,101.3,98.4
200411,101.2,98.4
200412,101.1,98.4
200501,100.8,98.7
200502,100.8,98.7
200503,100.4,98.9
200504,99.9,99.2
200505,99.8,99.7
200506,99.9,99.9
200507,99.8,100.1
200508,99.8,100.3
200509,99.7,101.1
200510,99.7,101
200511,99.7,101.1
200512,99.7,101.2
200601,99.7,101.2
200602,99.6,101.2
200603,99.4,101.4
200604,99.3,101.8
200605,99.3,102
200606,99.3,102.1
200607,99.4,102.6
200608,99.4,103.3
200609,99.4,104.1
200610,99.5,105.2
200611,99.5,105.6
200612,99.4,105.7
200701,99.3,106.2
200702,99.3,106.2
200703,99.3,106.5
200704,99.4,106.9
200705,99.3,106.5
200706,99.3,106.3
200707,99.1,106.4
200708,99.1,106.3
200709,99.1,107.7
200710,99.1,108.6
200711,99.3,108.8
200712,99.3,109.5
